k,mean accuracy,mean log loss
913,0.74903995,0.24750045
914,0.74903995,0.24769482
915,0.7488469,0.2477471
916,0.7488469,0.24794085
917,0.7482677,0.2477345
918,0.7482677,0.24793038
919,0.7482677,0.2481194
920,0.74846077,0.24844024
921,0.74846077,0.24863401
922,0.74846077,0.24882582
923,0.74846077,0.24902347
924,0.74846077,0.24921003
925,0.74865377,0.24954367
926,0.74846077,0.2496084
927,0.74846077,0.24981408
928,0.74846077,0.250004
929,0.74846077,0.25020877
930,0.74846077,0.2504065
931,0.74826777,0.2504736
932,0.74846077,0.2508044
933,0.74865234,0.2511315
934,0.74846077,0.25119576
935,0.74865234,0.25151995
936,0.74865234,0.25170037
937,0.74865234,0.25188276
938,0.74865234,0.25205985
939,0.74865234,0.25223753
940,0.74865234,0.25242454
941,0.74846077,0.2524911
942,0.74846077,0.2526787
943,0.74846077,0.25288063
944,0.74846077,0.25307631
945,0.74846077,0.25326565
946,0.74846077,0.25345546
947,0.74749845,0.2530086
948,0.74769,0.25333935
949,0.7478831,0.25368646
950,0.7478831,0.25388473
951,0.7465391,0.25318033
952,0.7467321,0.25354335
953,0.7461545,0.25334325
954,0.74634755,0.25370955
955,0.7455798,0.2534148
956,0.7455798,0.25364625
957,0.7453867,0.25375903
958,0.7453867,0.25400963
959,0.74461603,0.25372154
960,0.74461603,0.2539969
961,0.74384385,0.25372675
962,0.74384385,0.25398296
963,0.74345773,0.25398818
964,0.7432647,0.25410014
965,0.7421078,0.25354603
966,0.7421078,0.25379553
967,0.7397912,0.25244814
968,0.7401773,0.25297764
969,0.73921204,0.2525579
970,0.73959816,0.2530858
971,0.73901904,0.25295398
972,0.73766774,0.2522648
973,0.73689544,0.251968
974,0.73650944,0.2519396
975,0.73612326,0.2519265
976,0.7363164,0.25228992
977,0.7355441,0.25199512
978,0.7355441,0.25225124
979,0.7351595,0.25224662
980,0.7351595,0.25245863
981,0.73419434,0.25204057
982,0.73419434,0.25225002
983,0.7322638,0.25116128
984,0.7322638,0.2514
985,0.7307194,0.25056636
986,0.7307194,0.2508015
987,0.7297541,0.25036064
988,0.7297541,0.25059003
989,0.72840273,0.24988732
990,0.72840273,0.25012985
991,0.72820973,0.25020352
992,0.72820973,0.2504265
993,0.72820973,0.25063187
994,0.72820973,0.2508517
995,0.72859585,0.2513491
996,0.7284028,0.25144258
997,0.7284028,0.251661
998,0.7282098,0.2517506
999,0.72763056,0.2515301
1000,0.72743756,0.25160414
